"","winner","type","pcandvote","candidate","candrace","candvote","pwhitevt","pblackvt","platinovt","pasianvt","totvote","state","population","vote50bl","vote50wh","vote50as","blwhdiv","blladiv","laasdiv","aswhdiv","numcand","blwhcand","lawhcand","aswhcand","laascand","biracial","whwhcand","blblcand","lalacand","biracialminonly","whcand","lacand","ascand","fips_pla","fips_cnty","cityname","populationinterp","pctunemplinterp","pctpovertyinterp","chng5pop","mayor_council","council_manager","nonpartisan","term_limits_council","staggered_council","mayoral_veto","novevenyr_concurrent","city","year","incumbent","primary","general","runoff","dempresp2_interp","fips_st","fips_plaS","fips_stS","fips_stpla","geo_id2S","geo_id2","H_citytract_NHW_i","H_citytract_multi_i","isolationwht_i","pctlocalgovworker","pctwhtpopinterp","pctblkpopinterp","pctasianpopinterp","pctlatinopopinterp","pop65ovinterp","pctcollegegradinterp","medincinterp","pctrentersinterp","diversityinterp","region","northeast","south","midwest","west","logpop","totalr","citywhiteideol_interp","citywhiteideol_interp2","whiteideology_fill2","latinowhdivide","blackwhdivide","blacklatinodivide","biggestsplit","whiteblhispdivid","biggestsplit_gr","year.f"
"106",1,"General",0.509999990463257,"Giuliani","white",903114,0.7857,0.05,0.387800008058548,NA,1889003,"NY",NA,0.449999988079071,0.285699993371964,0,0.735700011253357,0.337799996137619,0.112199991941452,0.285699993371964,2,1,0,0,0,1,0,0,0,0,1,0,0,51000,61,"New York City",7528278.19999999,0.0445528171956539,0.137863817811013,255899.203125,1,NA,0,1,NA,1,1,"New York",1993,0,0,1,0,0.834999993443489,36,"51000","36","3651000","3651000",3651000,0.503126460313798,0.491090583801269,0.731411182880402,NA,0.408834952116013,0.252390210330486,0.0768288791179659,0.247110594809056,929320.800000001,0.161489021778107,32364,0.708604675531388,0.699794745445251,3,1,0,0,0,15.8341770172119,NA,NA,NA,3.67499995231628,0.397899985313416,0.735700011253357,0.337799996137619,0.735700011253357,0.566799998283386,1,"1993"
"107",1,"General",0.569999992847443,"Giuliani","white",783518,0.76,0.2,0.569999992847443,0.809,1409347,"NY",NA,0.300000011920929,0.259999990463257,0.308999985456467,0.560000002384186,0.370000004768372,0.239000007510185,0.0489999987185001,2,0,0,0,0,0,1,0,0,0,1,0,0,51000,61,"New York City",7802563.79999998,0.0438356779515743,0.178171125054359,342857,1,NA,0,1,NA,1,1,"New York",1997,1,0,1,0,0.850000023841858,36,"51000","36","3651000","3651000",3651000,0.476970773935319,0.477747869491577,0.704187309741974,NA,0.375150603055953,0.247519682347775,0.0889006733894346,0.260139937698841,898107.200000001,0.172447967529297,35752,0.702617961168289,0.719447636604309,3,1,0,0,0,15.8699626922607,NA,NA,NA,3.67499995231628,0.190000012516975,0.560000002384186,0.370000004768372,0.560000002384186,0.375,1,"1997"
"108",1,"Democratic Primary",0.401899993419647,"Messinger","white",165333,NA,0.28,0.5,NA,396115,"NY",NA,0.219999998807907,0.170000001788139,0.170000001788139,0.0500000007450581,0.219999998807907,0.170000001788139,0,3,1,0,0,0,1,0,0,0,0,1,0,0,51000,61,"New York City",7802563.79999998,0.0438356779515743,0.178171125054359,342857,1,NA,0,1,NA,1,1,"New York",1997,0,1,0,0,0.850000023841858,36,"51000","36","3651000","3651000",3651000,0.476970773935319,0.477747869491577,0.704187309741974,NA,0.375150603055953,0.247519682347775,0.0889006733894346,0.260139937698841,898107.200000001,0.172447967529297,35752,0.702617961168289,0.719447636604309,3,1,0,0,0,15.8699626922607,NA,NA,NA,3.67499995231628,NA,NA,0.219999998807907,0.219999998807907,NA,3,"1997"
"109",1,"General",0.519999980926514,"Bloomberg","white",711189,0.602,0.2604,0.489600002765656,0.52,1520443,"NY",NA,0.239600002765656,0.101999998092651,0.0199999995529652,0.341600000858307,0.229200005531311,0.0303999967873096,0.0820000022649765,2,0,0,0,0,0,1,0,0,0,1,0,0,51000,61,"New York City",8070650,0.0431185387074948,0.218478432297704,336657.59375,1,NA,0,1,NA,1,1,"New York",2001,0,0,1,0,NA,36,"51000","36","3651000","3651000",3651000,0.451558793132955,0.459184503013439,0.678741379217668,NA,0.348546155474403,0.242653000083837,0.100539229132912,0.27120981704105,884691.90909091,0.184986148368228,39472.7272727275,0.695957779884338,0.734465355222875,3,1,0,0,0,15.9037446975708,NA,3.18311405181885,3.18311405181885,3.18311405181885,0.112399995326996,0.341600000858307,0.229200005531311,0.341600000858307,0.226999998092651,1,"2001"
"110",1,"Democratic Primary",0.509999990463257,"Green","white",418824,0.84,0.29,0.159999996423721,NA,785000,"NY",NA,0.209999993443489,0.340000003576279,0,0.550000011920929,0.13000001013279,0.340000003576279,0.340000003576279,2,0,1,0,0,1,0,0,0,0,1,0,0,51000,61,"New York City",8070650,0.0431185387074948,0.218478432297704,336657.59375,1,NA,0,1,NA,1,1,"New York",2001,0,1,0,0,NA,36,"51000","36","3651000","3651000",3651000,0.451558793132955,0.459184503013439,0.678741379217668,NA,0.348546155474403,0.242653000083837,0.100539229132912,0.27120981704105,884691.90909091,0.184986148368228,39472.7272727275,0.695957779884338,0.734465355222875,3,1,0,0,0,15.9037446975708,NA,3.18311405181885,3.18311405181885,3.18311405181885,0.680000007152557,0.550000011920929,0.13000001013279,0.680000007152557,0.615000009536743,2,"2001"
"111",1,"Democratic Primary",0.400000005960464,"Ferrer","latino",192262,0.25,0.4,0.639999985694885,0.44,450000,"NY",8100000,0.100000001490116,0.25,0.0599999986588955,0.150000005960464,0.239999979734421,0.199999988079071,0.189999997615814,3,1,1,0,0,1,0,0,0,0,0,1,0,51000,61,"New York City",8213839,0.0424013994634153,0.258785739541043,205561,1,NA,0,1,NA,1,1,"New York",2005,0,1,0,0,NA,36,"51000","36","3651000","3651000",3651000,0.428377929058941,0.424959180029955,0.658629276535727,NA,0.343181412328373,0.237797854976221,0.110878069292415,0.27640130574053,924671.545454547,0.202262034470385,44191.6363636362,0.68727719783783,0.735577556219968,3,1,0,0,0,15.9213314056396,NA,3.2877984046936,3.2877984046936,3.2877984046936,0.389999985694885,0.150000005960464,0.239999979734421,0.389999985694885,0.269999980926514,2,"2005"
"112",1,"General",0.589999973773956,"Michael Bloomberg","white",753089,0.68,NA,0.330000013113022,NA,1315360,"NY",8100000,0,0.180000007152557,NA,0.180000007152557,0.169999986886978,NA,NA,2,0,1,0,0,1,0,0,0,0,1,0,0,51000,61,"New York City",8213839,0.0424013994634153,0.258785739541043,205561,1,NA,0,1,NA,1,1,"New York",2005,1,0,1,0,NA,36,"51000","36","3651000","3651000",3651000,0.428377929058941,0.424959180029955,0.658629276535727,NA,0.343181412328373,0.237797854976221,0.110878069292415,0.27640130574053,924671.545454547,0.202262034470385,44191.6363636362,0.68727719783783,0.735577556219968,3,1,0,0,0,15.9213314056396,NA,3.2877984046936,3.2877984046936,3.2877984046936,0.349999994039536,NA,NA,0.349999994039536,NA,2,"2005"
"113",1,"General",0.470999985933304,"Myrick","white",NA,NA,NA,NA,NA,NA,"NC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,12000,119,"Charlotte City",387847.4,0.0310041092336188,0.10835669413209,40778,0,1,0,0,0,1,0,"Charlotte city",1989,1,0,1,0,0.425235994160175,37,"12000","37","3712000","3712000",3712000,0.366684138774872,0.373374181985854,0.812157589197158,NA,0.650466871261597,0.316447359323502,0.0160678619518875,0.0129397233948111,37486.8999999999,0.179343529045582,30377.3999999999,0.450311833620071,0.476261076331139,4,0,1,0,0,12.8683671951294,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,"1989"
"114",1,"General",0.527999997138977,"Vinroot","white",NA,NA,NA,NA,NA,NA,"NC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,12000,119,"Charlotte City",410615.799999997,0.0245149772614242,0.106553383916616,47235.19921875,0,1,0,0,0,1,0,"Charlotte city",1991,0,0,1,0,0.468412004411221,37,"12000","37","3712000","3712000",3712000,0.349694225192071,0.357077780365941,0.79797706604004,NA,0.638606256246568,0.317972612380982,0.0182075798511505,0.0193364936858416,39280.3999999999,0.189878936111928,33383.2000000002,0.447552677989005,0.48909910619259,4,0,1,0,0,12.9254131317139,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,"1991"
"115",1,"General",0.670000016689301,"McCrory","white",62378,0.86,0.07,NA,NA,95707,"NC",NA,0.430000007152557,0.360000014305115,NA,0.790000021457672,NA,NA,NA,2,1,0,0,0,1,0,0,0,0,1,0,0,12000,119,"Charlotte City",582154,0.0314847383648156,0.103610486537218,98474.203125,0,1,0,0,0,1,0,"Charlotte city",2001,1,0,1,0,NA,37,"12000","37","3712000","3712000",3712000,0.286851360039277,0.268889139999043,0.705592426386747,NA,0.542543430219997,0.325193681500175,0.0340690694072032,0.078526775945317,46507.8181818184,0.238655242052945,47536,0.423933145674792,0.591263451359488,4,0,1,0,0,13.2744903564453,NA,4.03636372089386,4.03636372089386,4.03636360168457,NA,0.790000021457672,NA,0.790000021457672,NA,1,"2001"
